-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
May,19,685,745,818,39.1,0.91,1.10,1.36,0.11,1.25,1.37,1.51,0.08
May,20,678,745,822,41.1,0.90,1.10,1.35,0.11,1.24,1.37,1.50,0.08
May,21,648,733,807,43.1,0.87,1.09,1.33,0.11,1.17,1.35,1.47,0.09
May,22,653,743,802,42.6,0.89,1.12,1.37,0.12,1.19,1.38,1.51,0.09
May,23,694,798,872,47.8,0.92,1.20,1.44,0.13,1.26,1.48,1.63,0.10
May,24,744,861,934,50.0,0.99,1.32,1.57,0.13,1.37,1.61,1.77,0.10
June,Monthly Average,577,726,966,75.3,0.77,1.09,1.51,0.15,1.06,1.37,1.86,0.16
June,1,726,803,881,39.4,0.97,1.23,1.38,0.10,1.37,1.54,1.69,0.08
June,2,763,831,928,35.5,1.07,1.28,1.43,0.08,1.44,1.60,1.77,0.07
June,3,774,839,947,36.9,1.10,1.29,1.48,0.08,1.48,1.61,1.81,0.07
June,4,769,841,966,40.3,1.14,1.30,1.51,0.08,1.46,1.62,1.86,0.07
June,5,748,830,944,43.2,1.09,1.28,1.46,0.08,1.44,1.60,1.81,0.08
June,6,687,797,900,51.3,1.01,1.23,1.38,0.10,1.34,1.53,1.71,0.09
June,7,645,749,862,59.0,0.92,1.13,1.31,0.11,1.21,1.42,1.60,0.11
June,8,623,710,829,56.3,0.85,1.06,1.25,0.11,1.14,1.33,1.52,0.10
June,9,613,691,800,48.9,0.83,1.02,1.18,0.10,1.11,1.29,1.46,0.09
June,10,605,681,784,44.8,0.82,1.00,1.16,0.09,1.09,1.26,1.42,0.08
June,11,600,672,768,43.6,0.81,0.99,1.15,0.09,1.08,1.25,1.40,0.09
